Subject;Probe;Station
NA06985;SRR709972;1
NA06994;SRR070528;1
NA06994;SRR070819;1
NA07000;SRR766039;1
NA07048;SRR099452;1
NA07056;SRR764718;1
NA07357;SRR764689;1
NA07357;SRR764690;1
NA10847;SRR070531;1
NA10847;SRR070823;1
NA10851;SRR766044;1
NA11829;SRR710128;1
NA11831;SRR709975;1
NA11832;SRR766003;1
NA11840;SRR070532;1
NA11840;SRR070809;1
NA11881;SRR766021;1
NA11992;SRR701474;1
NA11994;SRR701475;1
NA11995;SRR766010;1
NA12003;SRR766061;1
NA12004;SRR766059;1
NA12005;SRR718067;1
NA12006;SRR716422;1
NA12043;SRR716423;1
NA12043;SRR716424;1
NA12044;SRR766060;1
NA12144;SRR766058;1
NA12154;SRR702067;1
NA12155;SRR702068;1
NA12156;SRR764691;1
NA12234;SRR716435;1
NA12249;SRR070798;1
NA12716;SRR081269;1
NA12717;SRR071172;1
NA12750;SRR081238;1
NA12750;SRR794547;1
NA12750;SRR794550;1
NA12751;SRR071136;1
NA12751;SRR071139;1
NA12760;SRR081223;1
NA12760;SRR081251;1
NA12761;SRR077753;1
NA12761;SRR081267;1
NA12762;SRR718076;1
NA12763;SRR077752;1
NA12763;SRR081230;1
NA12812;SRR715913;1
NA12813;SRR718077;1
NA12813;SRR718078;1
NA12814;SRR715914;1
NA12872;SRR716647;1
NA12874;SRR764692;1
NA12878;SRR098401;1
NA12891;SRR098359;1
NA12892;ERR034529;1
NA18501;SRR100022;1
NA18502;SRR764722;1
NA18502;SRR764723;1
NA18504;SRR100028;1
NA18505;SRR716648;1
NA18505;SRR716649;1
NA18507;SRR764745;1
NA18507;SRR764746;1
NA18508;SRR716637;1
NA18508;SRR716638;1
NA18516;SRR100026;1
NA18517;ERR034551;1
NA18522;SRR107025;1
NA18523;ERR034552;1
NA18526;ERR031854;1
NA18532;ERR031956;1
NA18537;ERR032033;1
NA18537;ERR032034;1
NA18542;ERR031855;1
NA18545;ERR031856;1
NA18547;ERR031957;1
NA18550;ERR031958;1
NA18552;ERR031959;1
NA18558;ERR031960;1
NA18561;ERR031858;1
NA18562;ERR031859;1
NA18563;ERR031860;1
NA18566;ERR031862;1
NA18571;ERR031868;1
NA18572;ERR031869;2
NA18573;ERR031870;2
NA18576;ERR031871;2
NA18577;ERR032035;2
NA18577;ERR032036;2
NA18579;ERR032037;2
NA18579;ERR032038;2
NA18582;ERR031961;2
NA18592;ERR031962;2
NA18593;ERR034531;2
NA18603;ERR031872;2
NA18608;ERR031874;2
NA18609;ERR031875;2
NA18611;ERR031876;2
NA18612;ERR034593;2
NA18620;ERR031877;2
NA18621;ERR034595;2
NA18622;ERR032027;2
NA18622;ERR032028;2
NA18623;ERR032008;2
NA18624;ERR031928;2
NA18632;ERR031929;2
NA18633;ERR031878;2
NA18635;ERR031879;2
NA18636;ERR031930;2
NA18637;ERR031931;2
NA18853;SRR100011;2
NA18856;SRR098533;2
NA18858;ERR034553;2
NA18861;ERR034554;2
NA18870;SRR100031;2
NA18871;SRR100029;2
NA18912;SRR111960;2
NA18940;ERR034596;2
NA18942;ERR034597;2
NA18943;ERR034598;2
NA18944;ERR034599;2
NA18947;ERR034601;2
NA18948;ERR034602;2
NA18949;ERR034603;2
NA18951;ERR034604;2
NA18952;ERR034605;2
NA18953;SRR099546;2
NA18959;SRR099545;2
NA18960;SRR099533;2
NA18961;SRR099544;2
NA18966;SRR071175;2
NA18967;SRR071192;2
NA18967;SRR071196;2
NA18968;SRR077480;2
NA18968;SRR081231;2
NA18969;SRR081266;2
NA18969;SRR081273;2
NA18970;SRR071116;2
NA18970;SRR071127;2
NA18971;SRR077447;2
NA18972;SRR077490;2
NA18972;SRR081255;2
NA18973;SRR077861;2
NA18973;SRR078846;2
NA18974;SRR077456;2
NA18974;SRR081248;2
NA18975;SRR078849;2
NA18976;SRR077451;2
NA18976;SRR077757;2
NA18978;SRR716650;2
NA18981;SRR077477;2
NA18981;SRR077751;2
NA18987;SRR077491;2
NA18990;SRR077454;2
NA18990;SRR077486;2
NA18991;SRR077450;2
NA18991;SRR077855;2
NA18992;SRR716428;2
NA18994;SRR716431;2
NA18995;SRR764775;2
NA18997;SRR702078;2
NA18998;SRR766013;2
NA18999;SRR112297;2
NA19000;SRR099528;2
NA19003;SRR099532;2
NA19005;SRR715906;2
NA19007;SRR099549;2
NA19012;SRR112294;2
NA19092;SRR100012;2
NA19093;SRR100033;2
NA19098;SRR077460;2
NA19099;SRR748771;2
NA19099;SRR748772;2
NA19102;SRR100034;2
NA19116;SRR100021;2
NA19119;SRR077471;2
NA19119;SRR081271;2
NA19130;SRR107026;2
NA19131;SRR070494;2
NA19131;SRR070783;2
NA19137;SRR081226;2
NA19137;SRR081237;2
NA19137;SRR792542;2
NA19137;SRR792560;3
NA19138;SRR070472;3
NA19138;SRR070776;3
NA19141;SRR077433;3
NA19141;SRR077464;3
NA19143;SRR077445;3
NA19143;SRR081272;3
NA19144;SRR077392;3
NA19152;SRR071135;3
NA19152;SRR071167;3
NA19153;SRR070660;3
NA19153;SRR070846;3
NA19159;SRR070478;3
NA19159;SRR070786;3
NA19171;SRR077492;3
NA19171;SRR077493;3
NA19172;SRR111962;3
NA19200;SRR077432;3
NA19200;SRR078847;3
NA19201;SRR077439;3
NA19201;SRR077462;3
NA19204;SRR077857;3
NA19204;SRR081263;3
NA19206;SRR070491;3
NA19206;SRR070781;3
NA19207;SRR081254;3
NA19207;SRR081256;3
NA19209;SRR077489;3
NA19209;SRR077859;3
NA19210;SRR078845;3
NA19210;SRR081222;3
NA19238;SRR071173;3
NA19238;SRR071195;3
NA19238;SRR792121;3
NA19238;SRR792165;3
NA19239;SRR792097;3
NA19239;SRR792159;3
NA19240;SRR792091;3
NA19240;SRR792767;3